"key","context","en","zh-CN","zh-TW","status"
"tutorial.wordsTitle","Tutorial glossary title","New words, in plain language","用简单的话解释新术语","用簡單的話解釋新術語","ai_draft"
"tutorial.total","Tutorial score total","Total","合计","合計","ai_draft"
"tutorial.taiValue","Tai score value","{count} Tai","{count} 台","{count} 台","ai_draft"
"tutorial.chooseTai","Accessible Tai answer group label","Choose the Tai total","选择总台数","選擇總台數","ai_draft"
"tutorial.correctPrefix","Correct tutorial answer prefix","That’s it.","就是这样。","就是這樣。","ai_draft"
"tutorial.hintPrefix","Tutorial retry hint prefix","Try this.","试试这样做。","試試這樣做。","ai_draft"
"tutorial.continue","Continue tutorial action","Continue","继续","繼續","ai_draft"
"tutorial.waitDraw","Tutorial table interaction prompt","Use Draw now in the action bar.","使用操作栏中的“立即摸牌”。","使用操作列中的「立即摸牌」。","ai_draft"
"tutorial.waitDiscard","Tutorial table interaction prompt","Use the tiles in your hand below.","使用下方手牌中的牌。","使用下方手牌中的牌。","ai_draft"
"tutorial.waitClaim","Tutorial table interaction prompt","Use the claim buttons in the action bar.","使用操作栏中的鸣牌按钮。","使用操作列中的鳴牌按鈕。","ai_draft"
"tutorial.resetStep","Reset tutorial step action","Reset step","重置此步骤","重設此步驟","ai_draft"
"tutorial.skipStep","Skip tutorial step action","Skip step","跳过此步骤","略過此步驟","ai_draft"
"tutorial.script.scoreTitle","Tutorial scoring example title","This hand's Tai","这手牌的台数","這手牌的台數","ai_draft"
"tutorial.script.baseWin","Tutorial scoring line","Base Win — every legal win","基本胡 — 每次合法胡牌","基本胡 — 每次合法胡牌","ai_draft"
"tutorial.script.concealed","Tutorial scoring line","Concealed — no open claims","门清 — 没有明牌鸣牌","門清 — 沒有明牌鳴牌","ai_draft"
"tutorial.script.singleWait","Tutorial scoring line","Single Wait — only one tile can finish it","独听 — 只有一种牌可胡","獨聽 — 只有一種牌可胡","ai_draft"
"tutorial.script.c1Title","Tutorial chapter 1 title","Your first turn","你的第一个回合","你的第一個回合","ai_draft"
"tutorial.script.c1Summary","Tutorial chapter 1 summary","Learn the goal and practise the draw-one, discard-one rhythm.","了解目标，练习摸一张、打一张的节奏。","了解目標，練習摸一張、打一張的節奏。","ai_draft"
"tutorial.script.c1s1Instruction","Tutorial c1 step 1 instruction","Finish a complete hand before anyone else.","比其他玩家更早完成一手牌。","比其他玩家更早完成一手牌。","ai_draft"
"tutorial.script.c1s1Detail","Tutorial c1 step 1 detail","This is Taiwanese 16-tile Mahjong. You normally hold 16 tiles. The tile that completes your hand makes 17, and then you choose Win.","这是台湾十六张麻将。通常手中有 16 张牌；完成牌型的第 17 张牌出现后，选择“胡牌”。","這是臺灣十六張麻將。通常手中有 16 張牌；完成牌型的第 17 張牌出現後，選擇「胡牌」。","ai_draft"
"tutorial.script.c1s1Key","Tutorial c1 step 1 key point","For now, remember only this: collect useful groups and keep one pair.","现在只需记住：收集有用的组合，并保留一个对子。","現在只須記住：收集有用的組合，並保留一個對子。","ai_draft"
"tutorial.script.handTerm","Tutorial glossary term","Hand","手牌","手牌","ai_draft"
"tutorial.script.handMeaning","Tutorial glossary definition","The tiles you are building. Your tiles are always along the bottom.","你正在组合的牌。你的牌始终位于画面底部。","你正在組合的牌。你的牌始終位於畫面底部。","ai_draft"
"tutorial.script.wallTerm","Tutorial glossary term","Wall","牌墙","牌牆","ai_draft"
"tutorial.script.wallMeaning","Tutorial glossary definition","The shared supply of face-down tiles in the middle.","中央由所有玩家共用的背面朝上牌堆。","中央由所有玩家共用的牌背朝上牌堆。","ai_draft"
"tutorial.script.c1s2Instruction","Tutorial c1 step 2 instruction","Start your turn by drawing one tile.","摸一张牌，开始你的回合。","摸一張牌，開始你的回合。","ai_draft"
"tutorial.script.c1s2Detail","Tutorial c1 step 2 detail","Most turns are simple: draw one tile, decide what helps, then discard one tile. There is no timer in this lesson.","大多数回合都很简单：摸一张，判断哪张有用，再打一张。本课没有计时。","大多數回合都很簡單：摸一張，判斷哪張有用，再打一張。本課沒有計時。","ai_draft"
"tutorial.script.c1s2Key","Tutorial c1 step 2 key point","Draw 1 → inspect your hand → discard 1","摸 1 张 → 查看手牌 → 打 1 张","摸 1 張 → 查看手牌 → 打 1 張","ai_draft"
"tutorial.script.c1s2Hint","Tutorial c1 step 2 hint","Choose Draw now in the action bar below the table.","在牌桌下方的操作栏中选择“立即摸牌”。","在牌桌下方的操作列中選擇「立即摸牌」。","ai_draft"
"tutorial.script.c1s3Instruction","Tutorial c1 step 3 instruction","You drew a Red Dragon. Discard it to return to 16 tiles.","你摸到一张红中。将它打出，回到 16 张牌。","你摸到一張紅中。將它打出，回到 16 張牌。","ai_draft"
"tutorial.script.c1s3Detail","Tutorial c1 step 3 detail","Tap the tile once to inspect it, then tap the same tile again to discard. The two-tap action helps prevent accidental discards.","点一下牌查看，再点同一张牌一次即可打出。双击操作可减少误打。","點一下牌查看，再點同一張牌一次即可打出。雙擊操作可減少誤打。","ai_draft"
"tutorial.script.c1s3Hint","Tutorial c1 step 3 hint","Find the Red Dragon marked 中 at the end of your hand. Tap it twice.","找到手牌末尾标有“中”的红中，点两次。","找到手牌末尾標有「中」的紅中，點兩次。","ai_draft"
"tutorial.script.c1s3Confirm","Tutorial c1 step 3 confirmation","Nice. Your turn is complete: you drew one tile and discarded one tile.","很好。你的回合完成了：摸一张，打一张。","很好。你的回合完成了：摸一張，打一張。","ai_draft"
"tutorial.script.c2Title","Tutorial chapter 2 title","Build a winning hand","组成胡牌牌型","組成胡牌牌型","ai_draft"
"tutorial.script.c2Summary","Tutorial chapter 2 summary","Meet the tile families and see exactly what five groups plus a pair means.","认识各类麻将牌，了解“五组牌加一个对子”的确切含义。","認識各類麻將牌，了解「五組牌加一個對子」的確切含義。","ai_draft"
"tutorial.script.c2s1Instruction","Tutorial c2 step 1 instruction","Numbered tiles come in three suits: Characters, Bamboo, and Dots.","数牌分为三门：万子、条子和筒子。","數牌分為三門：萬子、條子與筒子。","ai_draft"
"tutorial.script.c2s1Detail","Tutorial c2 step 1 detail","Each suit runs from 1 to 9. Winds and Dragons are Honor tiles and match only identical copies. Flower and Season bonus tiles are revealed and replaced automatically.","每门从 1 到 9。风牌和三元牌属于字牌，只能与相同牌配对。花牌和季节牌会自动亮出并补牌。","每門從 1 到 9。風牌與三元牌屬於字牌，只能與相同牌配對。花牌與季節牌會自動亮出並補牌。","ai_draft"
"tutorial.script.suitTerm","Tutorial glossary term","Suit","花色","花色","ai_draft"
"tutorial.script.suitMeaning","Tutorial glossary definition","One numbered family: Characters, Bamboo, or Dots.","一种数牌类别：万子、条子或筒子。","一種數牌類別：萬子、條子或筒子。","ai_draft"
"tutorial.script.honorTerm","Tutorial glossary term","Honor","字牌","字牌","ai_draft"
"tutorial.script.honorMeaning","Tutorial glossary definition","A Wind or Dragon. Honors do not form number sequences.","风牌或三元牌。字牌不能组成数字顺子。","風牌或三元牌。字牌不能組成數字順子。","ai_draft"
"tutorial.script.bonusTerm","Tutorial glossary term","Bonus tile","花牌","花牌","ai_draft"
"tutorial.script.bonusMeaning","Tutorial glossary definition","A Flower or Season. The game reveals it and draws a replacement for you.","花卉牌或季节牌。游戏会将其亮出，并为你补一张牌。","花卉牌或季節牌。遊戲會將其亮出，並為你補一張牌。","ai_draft"
"tutorial.script.c2s2Instruction","Tutorial c2 step 2 instruction","A normal winning hand is five groups plus one matching pair.","一般胡牌牌型由五组牌和一个对子组成。","一般胡牌牌型由五組牌與一個對子組成。","ai_draft"
"tutorial.script.c2s2Detail","Tutorial c2 step 2 detail","A group is either three consecutive numbers in one suit, three identical tiles, or four identical tiles. A pair is two identical tiles.","一组牌可以是同门连续三张、三张相同牌或四张相同牌。对子是两张相同牌。","一組牌可以是同門連續三張、三張相同牌或四張相同牌。對子是兩張相同牌。","ai_draft"
"tutorial.script.c2s2Key","Tutorial c2 step 2 key point","5 groups + 1 pair = a complete hand","5 组牌 + 1 个对子 = 完整牌型","5 組牌 + 1 個對子 = 完整牌型","ai_draft"
"tutorial.script.chowTerm","Tutorial glossary term","Sequence (Chow)","顺子（吃）","順子（吃）","ai_draft"
"tutorial.script.chowMeaning","Tutorial glossary definition","Three consecutive numbers in one suit, such as 4–5–6 Bamboo.","同一门连续三张数牌，例如四、五、六条。","同一門連續三張數牌，例如四、五、六條。","ai_draft"
"tutorial.script.pongTerm","Tutorial glossary term","Triplet (Pong)","刻子（碰）","刻子（碰）","ai_draft"
"tutorial.script.pongMeaning","Tutorial glossary definition","Three identical tiles, such as three 2 Dots.","三张相同牌，例如三张二筒。","三張相同牌，例如三張二筒。","ai_draft"
"tutorial.script.kongTerm","Tutorial glossary term","Four of a kind (Kong / Gang)","杠子（杠）","槓子（槓）","ai_draft"
"tutorial.script.kongMeaning","Tutorial glossary definition","Four identical tiles. It counts as one group and gives a replacement draw.","四张相同牌。算作一组，并会补摸一张牌。","四張相同牌。算作一組，並會補摸一張牌。","ai_draft"
"tutorial.script.pairTerm","Tutorial glossary term","Pair","对子","對子","ai_draft"
"tutorial.script.pairMeaning","Tutorial glossary definition","Two identical tiles. A normal hand needs exactly one.","两张相同牌。一般胡牌牌型正好需要一个对子。","兩張相同牌。一般胡牌牌型正好需要一個對子。","ai_draft"
"tutorial.script.c2s3Instruction","Tutorial c2 step 3 instruction","This hand needs the 7 of Characters to become complete.","这手牌需要七万才能完成。","這手牌需要七萬才能完成。","ai_draft"
"tutorial.script.c2s3Detail","Tutorial c2 step 3 detail","It already has four finished groups and a pair of East Winds. The 8–9 Characters need the 7 to form the fifth group: 7–8–9.","它已有四组完成牌和一对东风。八万、九万需要七万组成第五组：七、八、九万。","它已有四組完成牌與一對東風。八萬、九萬需要七萬組成第五組：七、八、九萬。","ai_draft"
"tutorial.script.c2s3Key","Tutorial c2 step 3 key point","When only one more tile can complete your hand, you are Ready — also called Ting.","只差一张牌就能胡牌时，你已进入听牌状态。","只差一張牌就能胡牌時，你已進入聽牌狀態。","ai_draft"
"tutorial.script.tingTerm","Tutorial glossary term","Ready (Ting)","听牌","聽牌","ai_draft"
"tutorial.script.tingMeaning","Tutorial glossary definition","Your hand is one tile away from winning.","你的手牌只差一张牌就能胡牌。","你的手牌只差一張牌就能胡牌。","ai_draft"
"tutorial.script.waitTerm","Tutorial glossary term","Winning tile / wait","胡牌张／听张","胡牌張／聽張","ai_draft"
"tutorial.script.waitMeaning","Tutorial glossary definition","A tile that would complete your hand. The Ready panel shows every option.","能让你胡牌的牌。听牌面板会列出所有选项。","能讓你胡牌的牌。聽牌面板會列出所有選項。","ai_draft"
"tutorial.script.c3Title","Tutorial chapter 3 title","Use another player's discard","使用其他玩家打出的牌","使用其他玩家打出的牌","ai_draft"
"tutorial.script.c3Summary","Tutorial chapter 3 summary","Learn what the claim buttons mean and try a Pong and a Chow.","了解鸣牌按钮的含义，并尝试碰牌和吃牌。","了解鳴牌按鈕的含義，並嘗試碰牌與吃牌。","ai_draft"
"tutorial.script.c3s1Instruction","Tutorial c3 step 1 instruction","Sometimes another player's discard can finish one of your groups.","有时，其他玩家打出的牌可以完成你的一组牌。","有時，其他玩家打出的牌可以完成你的一組牌。","ai_draft"
"tutorial.script.c3s1Detail","Tutorial c3 step 1 detail","When that happens, the game shows only the legal claim buttons. You may always Pass and wait for your own draw instead.","出现这种情况时，游戏只会显示合法的鸣牌按钮。你始终可以选择“过”，等待自己摸牌。","出現這種情況時，遊戲只會顯示合法的鳴牌按鈕。你始終可以選擇「過」，等待自己摸牌。","ai_draft"
"tutorial.script.chowOnlyTerm","Tutorial glossary term","Chow","吃","吃","ai_draft"
"tutorial.script.chowOnlyMeaning","Tutorial glossary definition","Take the previous player's discard to finish a three-number sequence.","取得上家打出的牌，完成三张连续数牌的顺子。","取得上家打出的牌，完成三張連續數牌的順子。","ai_draft"
"tutorial.script.pongOnlyTerm","Tutorial glossary term","Pong","碰","碰","ai_draft"
"tutorial.script.pongOnlyMeaning","Tutorial glossary definition","Take any player's discard to finish three identical tiles.","取得任一玩家打出的牌，完成三张相同牌。","取得任一玩家打出的牌，完成三張相同牌。","ai_draft"
"tutorial.script.kongOnlyTerm","Tutorial glossary term","Kong / Gang","杠","槓","ai_draft"
"tutorial.script.kongOnlyMeaning","Tutorial glossary definition","Complete four identical tiles, then receive a replacement draw.","组成四张相同牌，然后补摸一张牌。","組成四張相同牌，然後補摸一張牌。","ai_draft"
"tutorial.script.passTerm","Tutorial glossary term","Pass","过","過","ai_draft"
"tutorial.script.passMeaning","Tutorial glossary definition","Do not take the discard. Passing an unwanted group claim is safe.","不取得这张弃牌。放弃不需要的鸣牌不会有风险。","不取得這張棄牌。放棄不需要的鳴牌不會有風險。","ai_draft"
"tutorial.script.c3s2Instruction","Tutorial c3 step 2 instruction","West discarded a 2 of Dots. Use Pong to take it.","西家打出二筒。用“碰”取得它。","西家打出二筒。用「碰」取得它。","ai_draft"
"tutorial.script.c3s2Detail","Tutorial c3 step 2 detail","You already hold two matching 2 Dots. Pong combines them with the discard to expose a group of three identical tiles.","你已有两张二筒。碰牌会将它们与弃牌组合，亮出三张相同牌。","你已有兩張二筒。碰牌會將它們與棄牌組合，亮出三張相同牌。","ai_draft"
"tutorial.script.c3s2Hint","Tutorial c3 step 2 hint","Choose Pong in the action bar below the table.","在牌桌下方的操作栏中选择“碰”。","在牌桌下方的操作列中選擇「碰」。","ai_draft"
"tutorial.script.c3s2Confirm","Tutorial c3 step 2 confirmation","Pong made a visible group of three. After any Chow or Pong, you discard one tile.","碰牌组成了一组亮出的刻子。吃或碰之后，需要打一张牌。","碰牌組成了一組亮出的刻子。吃或碰之後，需要打一張牌。","ai_draft"
"tutorial.script.c3s3Instruction","Tutorial c3 step 3 instruction","East discarded a 3 of Characters. Use Chow to make 1–2–3.","东家打出三万。用“吃”组成一、二、三万。","東家打出三萬。用「吃」組成一、二、三萬。","ai_draft"
"tutorial.script.c3s3Detail","Tutorial c3 step 3 detail","Chow makes a number sequence, so it works only in one suit and only on the discard from the player immediately before you in turn order.","吃牌组成数字顺子，因此只能使用同一门牌，并且只能吃上家打出的牌。","吃牌組成數字順子，因此只能使用同一門牌，並且只能吃上家打出的牌。","ai_draft"
"tutorial.script.c3s3Hint","Tutorial c3 step 3 hint","Choose the Chow option that previews 1–2–3 Characters.","选择预览一、二、三万的吃牌选项。","選擇預覽一、二、三萬的吃牌選項。","ai_draft"
"tutorial.script.c3s3Confirm","Tutorial c3 step 3 confirmation","Chow made a visible sequence. Win claims beat Pong or Kong claims, which beat Chow claims.","吃牌组成了亮出的顺子。胡牌优先于碰或杠，碰或杠又优先于吃。","吃牌組成了亮出的順子。胡牌優先於碰或槓，碰或槓又優先於吃。","ai_draft"
"tutorial.script.c4Title","Tutorial chapter 4 title","Count Tai and win","计算台数并胡牌","計算台數並胡牌","ai_draft"
"tutorial.script.c4Summary","Tutorial chapter 4 summary","Add a small Tai example, then claim the tile that completes the hand.","计算一个简单的台数示例，然后取得能完成手牌的牌。","計算一個簡單的台數範例，然後取得能完成手牌的牌。","ai_draft"
"tutorial.script.c4s1Instruction","Tutorial c4 step 1 instruction","The Ready panel shows which tiles can complete your hand.","听牌面板会显示哪些牌能让你胡牌。","聽牌面板會顯示哪些牌能讓你胡牌。","ai_draft"
"tutorial.script.c4s1Detail","Tutorial c4 step 1 detail","Here it shows the 7 of Characters. “4 left” means none of its four copies are visible on the table yet; some may still be hidden in other hands.","这里显示七万。“还剩 4 张”表示四张七万都尚未在桌面上出现；其中一些可能仍藏在其他玩家手中。","這裡顯示七萬。「還剩 4 張」表示四張七萬都尚未在桌面上出現；其中一些可能仍藏在其他玩家手中。","ai_draft"
"tutorial.script.c4s1Key","Tutorial c4 step 1 key point","You do not have to work out every possible winning tile yourself — the Ready panel checks the legal shape.","你不必自己算出所有可能的胡牌张；听牌面板会检查合法牌型。","你不必自己算出所有可能的胡牌張；聽牌面板會檢查合法牌型。","ai_draft"
"tutorial.script.c4s2Instruction","Tutorial c4 step 2 instruction","Tai is the score for a winning hand. Add the awarded lines.","台是胡牌的分数单位。将各项所得台数相加。","台是胡牌的分數單位。將各項所得台數相加。","ai_draft"
"tutorial.script.c4s2Detail","Tutorial c4 step 2 detail","Every legal hand receives 1 Base Win Tai, so there is no separate minimum-Tai gate. Extra patterns add more, and the game lists them for you.","每次合法胡牌都有 1 台基本胡，因此没有另设最低台数门槛。其他牌型会增加台数，游戏会逐项列出。","每次合法胡牌都有 1 台基本胡，因此沒有另設最低台數門檻。其他牌型會增加台數，遊戲會逐項列出。","ai_draft"
"tutorial.script.c4s2Key","Tutorial c4 step 2 key point","Tai measures the winning patterns. It is not the number of tiles.","台用来衡量胡牌牌型，不是牌的张数。","台用來衡量胡牌牌型，不是牌的張數。","ai_draft"
"tutorial.script.taiTerm","Tutorial glossary term","Tai","台","台","ai_draft"
"tutorial.script.taiMeaning","Tutorial glossary definition","Points awarded for a legal win and its scoring patterns.","合法胡牌及其计分牌型所获得的分数。","合法胡牌及其計分牌型所獲得的分數。","ai_draft"
"tutorial.script.concealedTerm","Tutorial glossary term","Concealed","门清","門清","ai_draft"
"tutorial.script.concealedMeaning","Tutorial glossary definition","You did not open your hand with Chow, Pong, or an exposed Kong.","你没有通过吃、碰或明杠将手牌打开。","你沒有透過吃、碰或明槓將手牌打開。","ai_draft"
"tutorial.script.singleWaitTerm","Tutorial glossary term","Single Wait","独听","獨聽","ai_draft"
"tutorial.script.singleWaitMeaning","Tutorial glossary definition","Only one tile identity can complete the hand.","只有一种牌能完成手牌。","只有一種牌能完成手牌。","ai_draft"
"tutorial.script.twoTai","Tutorial Tai answer","2 Tai","2 台","2 台","ai_draft"
"tutorial.script.threeTai","Tutorial Tai answer","3 Tai","3 台","3 台","ai_draft"
"tutorial.script.fiveTai","Tutorial Tai answer","5 Tai","5 台","5 台","ai_draft"
"tutorial.script.c4s2Hint","Tutorial c4 step 2 hint","Add the three lines: 1 + 1 + 1.","将三项相加：1 + 1 + 1。","將三項相加：1 + 1 + 1。","ai_draft"
"tutorial.script.c4s2Confirm","Tutorial c4 step 2 confirmation","Correct: 1 Base Win + 1 Concealed + 1 Single Wait = 3 Tai.","正确：基本胡 1 台 + 门清 1 台 + 独听 1 台 = 3 台。","正確：基本胡 1 台 + 門清 1 台 + 獨聽 1 台 = 3 台。","ai_draft"
"tutorial.script.c4s3Instruction","Tutorial c4 step 3 instruction","North discarded your 7 of Characters. Choose Win.","北家打出了你需要的七万。选择“胡牌”。","北家打出了你需要的七萬。選擇「胡牌」。","ai_draft"
"tutorial.script.c4s3Detail","Tutorial c4 step 3 detail","The Win button appears only because this tile legally completes five groups plus one pair. If you draw the winning tile yourself, the button says Self-Draw (Zimo).","只有当这张牌合法完成五组牌加一个对子时，才会出现“胡牌”按钮。如果是自己摸到胡牌张，按钮会显示“自摸”。","只有當這張牌合法完成五組牌加一個對子時，才會出現「胡牌」按鈕。如果是自己摸到胡牌張，按鈕會顯示「自摸」。","ai_draft"
"tutorial.script.huTerm","Tutorial glossary term","Win (Hu)","胡牌","胡牌","ai_draft"
"tutorial.script.huMeaning","Tutorial glossary definition","Claim another player's discard to complete your hand.","取得其他玩家打出的牌，完成手牌。","取得其他玩家打出的牌，完成手牌。","ai_draft"
"tutorial.script.zimoTerm","Tutorial glossary term","Self-Draw (Zimo)","自摸","自摸","ai_draft"
"tutorial.script.zimoMeaning","Tutorial glossary definition","Draw the tile that completes your own hand.","自己摸到完成手牌的牌。","自己摸到完成手牌的牌。","ai_draft"
"tutorial.script.c4s3Hint","Tutorial c4 step 3 hint","Choose the Win button showing 3 Tai in the action bar.","选择操作栏中显示 3 台的“胡牌”按钮。","選擇操作列中顯示 3 台的「胡牌」按鈕。","ai_draft"
"tutorial.script.c4s3Confirm","Tutorial c4 step 3 confirmation","You won: five groups plus one pair, worth 3 Tai in this example.","你胡牌了：五组牌加一个对子，本例共 3 台。","你胡牌了：五組牌加一個對子，本例共 3 台。","ai_draft"
"loading.joiningLabel","Accessible match-loading screen label","Players joining the table","玩家正在加入牌桌","玩家正在加開牌桌","ai_draft"
"loading.ready","Match-loading category","Players ready","玩家已就绪","玩家已就緒","ai_draft"
"loading.entering","Match-loading title","Entering the Mahjong table","正在进入麻将牌桌","正在進入麻將牌桌","ai_draft"
"loading.profiles","Accessible player profile grid label","Player profiles","玩家资料","玩家資料","ai_draft"
"loading.player","Anonymous player name","Player","玩家","玩家","ai_draft"
"loading.seat","Wind seat label","{wind} seat","{wind}家","{wind}家","ai_draft"
"loading.wind","Accessible wind label","{wind} wind","{wind}风","{wind}風","ai_draft"
"loading.settingTable","Match-loading progress","Setting the table…","正在摆牌…","正在擺牌…","ai_draft"
"game.windEast","Seat wind","East","东","東","ai_draft"
"game.windSouth","Seat wind","South","南","南","ai_draft"
"game.windWest","Seat wind","West","西","西","ai_draft"
"game.windNorth","Seat wind","North","北","北","ai_draft"
"game.actionPass","Mahjong action","Pass","过","過","ai_draft"
"game.actionChow","Mahjong action","Chow","吃","吃","ai_draft"
"game.actionPong","Mahjong action","Pong","碰","碰","ai_draft"
"game.actionGang","Mahjong action","Gang","杠","槓","ai_draft"
"game.actionWin","Mahjong action","Win","胡牌","胡牌","ai_draft"
"game.actionSelfDraw","Mahjong action","Self-Draw","自摸","自摸","ai_draft"
"game.sortSuitRank","Hand sorting mode","Suit·Rank","花色·点数","花色·點數","ai_draft"
"game.sortSets","Hand sorting mode","Sets","组合","組合","ai_draft"
"game.sortOff","Hand sorting mode","Off","关闭","關閉","ai_draft"
"table.claimed","Discard placeholder after a claim","claimed","已鸣牌","已鳴牌","ai_draft"
"table.aiSeat","AI seat tooltip","AI-controlled seat","电脑控制的座位","電腦控制的座位","ai_draft"
"table.bot","AI player badge","Bot","电脑","電腦","ai_draft"
"table.autoPlayingTitle","Disconnected takeover tooltip","Auto-playing (disconnected)","自动代打（已断线）","自動代打（已斷線）","ai_draft"
"table.autoPlaying","Disconnected takeover badge","Auto-playing","自动代打","自動代打","ai_draft"
"table.waitsLabel","Accessible Ting waits label","Ting waits","听牌等待张","聽牌等待張","ai_draft"
"table.ready","Ting panel label","Ting · Ready","听牌","聽牌","ai_draft"
"table.winningTiles","Accessible winning-tile list label","Winning tiles","胡牌张","胡牌張","ai_draft"
"table.copiesHidden","Winning tile visible count","{count} copies not visible","有 {count} 张尚未明示","有 {count} 張尚未明示","ai_draft"
"table.allVisible","Winning tile exhausted state","All visible","全部可见","全部可見","ai_draft"
"table.allCopiesVisible","Accessible winning tile exhausted state","all four copies visible","四张全部可见","四張全部可見","ai_draft"
"table.left","Remaining tile count","{count} left","还剩 {count} 张","還剩 {count} 張","ai_draft"
"table.leftCaption","Wall tile count caption","left","剩余","剩餘","ai_draft"
"table.playerStatus","Accessible player status label","Player status","玩家状态","玩家狀態","ai_draft"
"table.dealer","Dealer badge tooltip","Dealer","庄家","莊家","ai_draft"
"table.activePlayer","Active-player tooltip","Active player","当前行动玩家","目前行動玩家","ai_draft"
"table.waiting","Waiting for claim responses badge","waiting","等待中","等待中","ai_draft"
"table.waitingResponses","Waiting for claim responses tooltip","Waiting for responses","等待其他玩家回应","等待其他玩家回應","ai_draft"
"table.exposedMelds","Accessible exposed melds label","Exposed melds","明牌组合","明牌組合","ai_draft"
"table.tableStatus","Accessible central table status label","Table status","牌桌状态","牌桌狀態","ai_draft"
"table.secondsElapsed","Accessible untimed elapsed time","{seconds} seconds elapsed","已用时 {seconds} 秒","已用時 {seconds} 秒","ai_draft"
"table.elapsed","Untimed clock caption","elapsed","已用时","已用時","ai_draft"
"table.secondsRemaining","Accessible turn timer","{seconds} seconds remaining","还剩 {seconds} 秒","還剩 {seconds} 秒","ai_draft"
"table.oneSecond","Urgent turn timer announcement","1 second remaining","还剩 1 秒","還剩 1 秒","ai_draft"
"table.threeSeconds","Turn timer warning announcement","3 seconds remaining","还剩 3 秒","還剩 3 秒","ai_draft"
"table.wallCriticalAnnouncement","Wall critically low announcement","{count} tiles left. Wall critically low.","牌墙还剩 {count} 张，已严重不足。","牌牆還剩 {count} 張，已嚴重不足。","ai_draft"
"table.wallLowAnnouncement","Wall running low announcement","{count} tiles left. Wall running low.","牌墙还剩 {count} 张，即将不足。","牌牆還剩 {count} 張，即將不足。","ai_draft"
"table.wallRemaining","Accessible wall remaining count","{count} drawable tiles remaining{warning}","牌墙还可摸 {count} 张{warning}","牌牆還可摸 {count} 張{warning}","ai_draft"
"table.wallCritical","Wall remaining warning suffix",", wall critically low","，牌墙严重不足","，牌牆嚴重不足","ai_draft"
"table.wallLow","Wall remaining warning suffix",", wall running low","，牌墙即将不足","，牌牆即將不足","ai_draft"
"table.round","Prevailing wind round","Round {wind}","{wind}圈","{wind}圈","ai_draft"
"table.dealerRepeat","Accessible dealer continuation count","Dealer repeat {count}","连庄 {count} 次","連莊 {count} 次","ai_draft"
"table.yourTurn","Current player turn status","Your turn","轮到你","輪到你","ai_draft"
"table.playerTurn","Opponent turn status","{player}'s turn · {wind}","{player} 的回合 · {wind}","{player} 的回合 · {wind}","ai_draft"
"table.discarding","Discard request progress","Discarding…","正在打牌…","正在打牌…","ai_draft"
"table.selectAgain","Selected tile discard instruction","{tile} · select again to discard","{tile} · 再选一次即可打出","{tile} · 再選一次即可打出","ai_draft"
"table.selectDiscard","Discard instruction","Select a tile to discard","选择一张牌打出","選擇一張牌打出","ai_draft"
"table.firstDiscard","Waiting for first discard","Waiting for the first discard","等待第一张弃牌","等待第一張棄牌","ai_draft"
"table.chooseClaim","Claim response prompt","Choose a claim or pass","选择鸣牌或过","選擇鳴牌或過","ai_draft"
"table.noClaim","Automatic pass status","No claim · passing","无可鸣牌 · 正在过","無可鳴牌 · 正在過","ai_draft"
"table.chooseWinGang","Self-turn action prompt","Choose Win/Gang or select a tile to discard","选择胡牌／杠，或选择一张牌打出","選擇胡牌／槓，或選擇一張牌打出","ai_draft"
"table.selectDiscardTurn","Current player discard prompt","Your turn · select a tile to discard","轮到你 · 选择一张牌打出","輪到你 · 選擇一張牌打出","ai_draft"
"table.lastPlayed","Latest discard status","Last tile played","刚打出的牌","剛打出的牌","ai_draft"
"table.tileInPlay","Current claimable tile label","Tile in play","待响应的牌","待回應的牌","ai_draft"
"table.latestDiscard","Latest discard label","Latest discard","最新弃牌","最新棄牌","ai_draft"
"table.from","Discard source prefix","from {source}","来自 {source}","來自 {source}","ai_draft"
"table.centralDashboard","Accessible central dashboard label","Central table dashboard","牌桌中央信息面板","牌桌中央資訊面板","ai_draft"
"table.yourSeat","Accessible local seat label","Your seat","你的座位","你的座位","ai_draft"
"table.thinking","Claim decision status","thinking","思考中","思考中","ai_draft"
"table.chooseResponse","Claim decision tooltip","Choose a response","选择回应","選擇回應","ai_draft"
"table.controls","Accessible game controls label","Game controls","游戏控制","遊戲控制","ai_draft"
"table.sort","Hand sort control","Sort: {mode}","排序：{mode}","排序：{mode}","ai_draft"
"table.yourMelds","Accessible local exposed melds label","Your exposed melds","你的明牌组合","你的明牌組合","ai_draft"
"table.yourHand","Accessible local hand label","Your hand","你的手牌","你的手牌","ai_draft"
"table.legalActions","Accessible legal actions label","Legal actions","合法操作","合法操作","ai_draft"
"table.confirmGang","Confirm consequential Gang action","Confirm Gang","确认杠牌","確認槓牌","ai_draft"
"table.confirmGangLabel","Accessible consequential Gang confirmation","Confirm Gang. This changes your hand and cannot be undone.","确认杠牌。此操作会改变手牌且无法撤销。","確認槓牌。此操作會改變手牌且無法復原。","ai_draft"
"table.gangWarning","Consequential Gang explanation","Gang changes your hand and cannot be undone. Activate Confirm Gang to continue, or choose another action.","杠牌会改变手牌且无法撤销。选择“确认杠牌”继续，或选择其他操作。","槓牌會改變手牌且無法復原。選擇「確認槓牌」繼續，或選擇其他操作。","ai_draft"
